id,user_id,user,location,text
45,1175104932271312897,denisobrien_,Ireland,Great interview by @DigicelGroup CEO Jean-Yves Charlier on the need to work with regulators to bring 5G service to… https://t.co/rKHXYg1S4R
46,1240626686,GershonKnight90,St. Kitts,Me big fren in DIGICEL! You could hold me phone so long or wa?
47,872597917382705152,_Jistudios,Adobe Lightroom,What’s the cost and requirements to get a replacement chip from Digicel. Just lost my sim card
48,2290898246,SwiftySingut,Papua New Guinea,about 2 to 3 months ago I can't wait to watch the Great Britain Lions vs PNG Kumuls game I also did a flyer for the… https://t.co/mY21A4xC7y
49,44961935,cricketycom,,Vintage West Indies Cricket Jersey Small Admiral Digicel With Tag  https://t.co/uMVbKrWYoa
50,217323102,onebignut_,Fiji,Goes to vodafone and asks for digicel recharge🙄👐
51,478961804,OfficialDigicel,Lv 2 SNPF Plaza. Apia,"Digicel partnership with EPC on Energy Insight App project. 
Read More: https://t.co/klpHoUZhXg https://t.co/jhDNiS9A83"
52,922035653474385920,BellaMieLuna,,Can't make calls to a digicel #..
53,40954616,JamaicaGleaner,Jamaica,"Telecoms provider Digicel says it welcomes plans by Minister of Science, Technology and Energy Faval Williams to pu… https://t.co/G4wia4PTi1"
54,56954334,serMykal,,Right beside the router an cyaa get a steady connection...digicel smh
55,51601756,ImSOCraziRandom,saint lucia,So digicel doing that the person with the last comment thing again
56,147405220,whonamesimone,,Mi a wonder if a slow digicel internet too slow mek Netflix nah connect pan mi TV. Cuz my sister sign out of all he… https://t.co/9jtwhvESud
57,227575859,Obey_Devi,"Camp Nou, barca",Digicel annoying the life outta me rn
58,420872350,anrkiss,Kanye West Stan,Is Digicel WiFi down     ?????
59,284262128,kymo876,Jamaica,The way Digicel and Flow relax dem deven advertise pan tv anymore
60,948960230,_xensations,,When your phone goes ping and you think it's bae but it's a text from digicel https://t.co/D9gAWLIAtX
61,80408407,miirahmajestic,🇯🇲,"Bwoy, if Digicel data plans never suh expensive mo switch back because I didn’t have these problems before"
62,258992252,Charmanderz_,Ichirouganaim,Meanwhile is only Digicel that text me https://t.co/A4ZdJhlJeG
63,865538278006562816,trinibeachboy90,Trinidad and Tobago,"@TriniOfArabia @AzelliaR Ummm. I am not going to get upset at Nike, KFC, Levi's, etc for identifying their target m… https://t.co/ndYInntBXC"
64,992243020471791619,MsRandomFj,Fiji,@Navunivuwai @fkrfn7 Digicel all the way ❤️
65,1054141530624147456,ekonomy_,dey,Aru a drape up digicel jack
66,395684663,simzticker,,Legit annoyed with digicel tho. Why can’t I get and make calls all I get is 123 messages 😡
67,553215349,LomahsC,,Facebook is one strange app. I was in Digicel HQ the other day to enquire about my phone bill and to my surprise th… https://t.co/VncT8F1QWy
68,887061841616269313,theofficialoura,"Chicago, IL","Here at Loura Mobile Recharge, we understand in this ever busy world, nobody has time to visit or call stores for r… https://t.co/DA0aG3Ou9a"
69,814575123281756160,Navunivuwai,Fidji,And that’s why I’m with DIGICEL https://t.co/qtlErOGukC
70,840273601899184128,d_onlysabriena,Jamaica,What's a Flow..Digicel av dem ways but their internet waaay better than Flow https://t.co/cawq7hQgVB
71,70960892,JustMoxoxo,Jamaica,Digicel internet or Flow? 🤔🤔🤔
72,32316333,allyisroaming,"Kingston, Jamaica",@Yappityyapp No problem. Had to make sure people understood the clarification. But even if it's not affecting the e… https://t.co/ki6cYvKW7m
73,211524963,MrJordan35,St. Lucia,#digicel LteParty @ Sandals Grande St. Lucian https://t.co/L5B6SxN4qb
74,1406199391,__Daviann,"Pizza Hut , Jamaica",Digicel pissing me offf
75,1406199391,__Daviann,"Pizza Hut , Jamaica",Literally tired of digicel
76,1969764030,Countryxxxx,Kingston,@allyisroaming @guruintraining_ So digicel raising prices again? 4 times in 2 years. I can't keep up
77,210282068,Jerry876_JA,,@TheOURja we need your intervention. How is digicel cutting the internet speed and increasing the price ? This need… https://t.co/BFZZIQIzw0
78,1175050219,C_GalvanPaz,Mexico D.F. Coyoacan,TRINIDA AND TOBAGO: Digicel T&amp;T launches LTE-A.#telecoms
79,1536471,Bertitude,Jehovah's Witness Protection,@allyisroaming Indeed. What I do at home is flow cable and Digicel internet
80,1536471,Bertitude,Jehovah's Witness Protection,@allyisroaming The plain internet plans from Digicel are faster for the money. Most of this is because of the licensing fees for cable
81,32316333,allyisroaming,"Kingston, Jamaica","Digicel communicates poorly and prices have changed a few times since I signed up.
Tell us this BEFORE you roll thi… https://t.co/CXlsBFHkij"
82,179508021,peter_haas,Providence RI,This is why Microwave links are important as backup! Somebody cut a fiber line of Digicel in #Haiti! https://t.co/rARk7p2g5W
83,8609982,macmark,Trinidad and Tobago,A Digicel triumphant https://t.co/oCBQF2scrj https://t.co/zPbLCpm0fH
84,2445810937,technewstnt,Trinidad and Tobago,A Digicel triumphant https://t.co/VHtOnJUXuP https://t.co/GQk3DxLqgT
85,1051508813264814080,changlvmore,Saint Lucia,@MavMill Digicel have there own internet
86,32316333,allyisroaming,"Kingston, Jamaica",@scsquared My mind was just changed by an exchange I had with someone who appears to work for Digicel. Left a bad taste in my mouth.
87,1059219933593325568,born2skinny,🇯🇲,From them stop give free text digicel hasn’t been the same https://t.co/ngHJu2Rpne
88,1344241002,CoramDeoHaiti,,"""DIGICEL : Sabotage of a major optical fiber
The CEO of Digicel Haiti, Maarten Boute said ""Today [Wednesday], anoth… https://t.co/XzS4lrK7p9"
89,1132429111039877120,blaqsbi,"Charlotte, NC",#HaitiNews #ZappingHaitiLibrecom #Haitinews Post: Haiti - News : Zapping... - https://t.co/2NdaRYavHr : Haiti news… https://t.co/glN1QMS1CT
90,3924839293,Immortal777_33,Jamaica,"@Brandysull Digicel seems like it's going down, and I really feel it for them. Who the hell was running the company… https://t.co/Q2yZFGOAlr"
91,32316333,allyisroaming,"Kingston, Jamaica",@kadsbrezi Then why are you still in my mentions and constantly quoting me? Do you work for Digicel? Because if so… https://t.co/xYtKPAXz6F
92,32316333,allyisroaming,"Kingston, Jamaica",Jamaicans take note. Your existing package isn’t going to change unless you request it. Let’s ensure we cuss Digice… https://t.co/W3QXxV6tes
93,32316333,allyisroaming,"Kingston, Jamaica","@odealiaj Thank you for replying!
Also, please see this tweet in reply to my original post. I'm going to call Digic… https://t.co/lfKYu1JCna"
94,32316333,allyisroaming,"Kingston, Jamaica","I'm going to call Digicel to confirm this (and also how long this ""grandfathering"" will last) but this is giving me… https://t.co/a7tsJ1BmKm"
95,735038804,wincee5,Kingston Jamaica,"If you do sales or any other job that requires moving about, you feeling it hard. Cos di gas allowance nah move, yu… https://t.co/mmH21lPXnw"
96,3173875058,De_Hum_A_Vamp,Dolphin Castle Fort Augusta Dr,"@depass_danny Flow- home service was always trash
        - cell service was atrocious

I've never used Digicel hom… https://t.co/iQxWHcEhMT"
97,779322778604359680,aimfinancialja,19 West Kings House Rd Jamaica,🎅🏾 AIM Trivia #4. Follow @aimfinancialja and reply to this post with your answer for a chance to win win $200 Digic… https://t.co/3PUfrkdy3L
98,286946589,Nasturalista,Narnia,@J_Skally Jason. Again. Nuh mek mi rude to yuh. I tweeted Digicel directly. And you run in for no reason. Please go… https://t.co/ckOFXjq3vV
99,90791900,Di876_Victor,"18.1096° N, 77.2975° W",Nearly gi when me 3 points on a stairs inna the place beside digicel 😭😭😭
100,180673670,whittysan,,That's literally Digicel's most consistent service slogan over the years: Offering Less For More $$$.
